,Unnamed: 0,Text,emotions,category,labels
1,1,Come on down to Mert’s today and let us take care of lunch! Enjoy Mom’s Meatloaf with your choice of two sides and cornbread! Order online #doordash #chownow https://t.co/19w1l6YRN3,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
5,5,Who is Nxt ~&gt; #ChowNow lays off 20% of its staff in tech's latest cutback | @RB_magazine https://t.co/snjBsgPQ2J https://t.co/DyhG43HvOA,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
8,8,"Chownow Layoffs
20% Workforce
100 Employees
SF Bay Area

https://t.co/WONbGEAMHq

#Chownow #Layoffs #LayoffsTracker",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
10,10,Today’s lunch special is Smoked Pork Sausage with onions and peppers and your choice of sides and cornbread! Order online #doordash #chownow https://t.co/mR4TEkaKPM,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
14,14,Come into Mert’s today and grab Salmon Cakes and two of home cooked sides with a piece of cornbread today! Order online #doordash #chownow https://t.co/Enjk5e8CNC,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
15,15,Come into Mert’s today for some of our Fried Chicken with your choice of sides! Order online #doordash #chownow https://t.co/zC4FW9uqfm,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
16,16,Warm up today with Mom’s Meatloaf at Mert’s today! Order online #doordash #chownow https://t.co/EwWPurCW2J,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
17,17,Come and enjoy a rainy Sunday with us at Mert’s today! Order online #doordash #chownow https://t.co/39vFcqep3I,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
18,18,Come join us for a late lunch or early dinner at Mert’s today! Order online #doordash #chownow https://t.co/ij2X9pLe08,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
19,19,"Come join us at Mert’s today for some Jumbo Wings, plain or Winston Salem style! Order online #doordash #chownow https://t.co/v0PXGjZnK0",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
22,22,We are currently having issues with our phones. Please order online via our website or with #slice #chownow #doordash #grubhub and #ubereats @ Maruca's Pizza https://t.co/WTjWQw0bh9,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
24,24,Come and join us today for lunch at Mert’s! Order online #doordash #chownow https://t.co/FAy2pytWja,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
25,25,Come on down to Mert’s and enjoy smoked sausage and peppers with your choice of two sides today! Order online #doordash #chownow https://t.co/O5Ue3JY0Jb,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
27,27,"ChowNow allows you to order your favorite Moonrunners meal to go! Check out the link below to see how easy it is to have Moonrunners for lunch today. 

https://t.co/tIjmijBk4P

 #northcarolina #supportlocals #moonshine #moonrunners #garnernc  #placeorder #chownow https://t.co/v9DDLgOjEL",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
30,31,Come join us at Mert’s today for lunch and enjoy some Winston Salem style wings! Order online #doordash #chownow https://t.co/n7R7Dq96sR,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
31,32,Come join us for dinner tonight. Open till 8pm. #doordash #chownow https://t.co/KcMtQrTN16,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
32,33,Come join us for dinner tonight. Open till 8pm. #doordash #chownow https://t.co/Q7oN2Tc11l,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
33,34,Join us today after the long holiday weekend at Mert’s for lunch! Order online with #doordash #chownow https://t.co/mg2EHGyDUN,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
34,35,Let us take care of lunch today at Mert’s today or order online! #doordash #chownow https://t.co/9rzmGm8shw,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
35,36,Come and join us for lunch at Mert’s today after the long holiday weekend! Order online #doordash #chownow https://t.co/PuhDBjp5nH,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
36,37,Come on into Mert’s today and enjoy a Low Country Gumbo or a Grilled Salmon with Shrimp Butter! Order Online with #doordash or #chownow https://t.co/gNz92q7dDG,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
37,38,Choice of pickup or delivery through #doordash or #chownow! https://t.co/2VbyIvzvtI,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
38,39,"We deliver through ChowNow! Order High Tide Taco Bar through the app today! 

https://t.co/6OMDPjLK7C

#Farmingdale #LongIsland #LongIslandEats #TastingLongIsland #HighTideTacoBar #ChowNow https://t.co/Ht9H3GPn9d",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
52,53,Come and enjoy some catfish this afternoon with your choice of two sides and cornbread! Order online with #doordash #chownow https://t.co/k9Q22FUBhR,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
55,56,Come join us for dine in or takeout! #doordash #chownow https://t.co/Q7BYQe38lp,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
56,57,Come join us for dine in or takeout! #doordash #chownow https://t.co/uzVplhlen4,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
57,58,On a lunch break? Grab some Southern food to go! #doordash #chownow https://t.co/SqHby3plz1,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
58,59,On a lunch break? Grab some Southern food to go! #doordash #chownow https://t.co/TaGBqERlte,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
62,63,Come on down to Mert’s for lunch or Order our Catfish online with #doordash or #chownow! https://t.co/AtMncgGwsi,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
67,68,Come on down to Mert’s and get some of our amazing sides! Order Online with #doordash or #chownow https://t.co/j2B61QfFB9,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
70,71,Come and get some of Mom’s Meatloaf at Mert’s today or order online! #doordash #chownow https://t.co/O0tocYJiqR,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
71,72,Come on into Mert’s and enjoy some of Mom’s Meatloaf or order online with #doordash #chownow https://t.co/ZydVWtzdvT,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
72,73,"Come on in to Mert’s or Order
online with #doordash or #chownow today! https://t.co/wrS9aOlBu6",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
74,75,Order online with #doordash or #chownow! Or come join us at Mert’s! https://t.co/9tt6Q5EekH,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
78,79,Come on down to Mert’s with your #bestfriend or order online! #doordash #chownow #bestfriendsday❤️ https://t.co/xyRq54iT3D,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
