iter	Passed	Remaining
0	11	11486
1	22	11310
2	34	11358
3	45	11290
4	56	11231
5	67	11188
6	79	11232
7	90	11258
8	102	11290
9	113	11281
10	125	11273
11	137	11293
12	149	11327
13	162	11457
14	174	11445
15	186	11455
16	197	11431
17	209	11414
18	221	11418
19	233	11446
20	245	11443
21	257	11436
22	269	11433
23	281	11452
24	293	11454
25	305	11440
26	317	11434
27	329	11437
28	341	11445
29	354	11465
30	367	11479
31	379	11485
32	391	11486
33	403	11473
34	415	11453
35	427	11457
36	439	11443
37	451	11424
38	462	11404
39	474	11399
40	487	11391
41	499	11394
42	511	11382
43	523	11381
44	535	11368
45	547	11347
46	560	11363
47	573	11373
48	585	11358
49	597	11344
50	608	11331
51	621	11327
52	633	11311
53	644	11292
54	656	11280
55	668	11269
56	680	11255
57	692	11243
58	704	11236
59	716	11229
60	728	11213
61	740	11200
62	753	11200
63	766	11205
64	779	11211
65	790	11193
66	804	11196
67	816	11185
68	827	11168
69	839	11156
70	851	11143
71	863	11132
72	875	11120
73	887	11108
74	899	11095
75	911	11082
76	923	11065
77	935	11056
78	947	11044
79	959	11032
80	972	11032
81	985	11030
82	996	11012
83	1009	11006
84	1021	10994
85	1033	10980
86	1045	10971
87	1057	10956
88	1068	10939
89	1080	10924
90	1092	10912
91	1104	10901
92	1116	10886
93	1127	10871
94	1139	10856
95	1151	10840
96	1163	10826
97	1175	10817
98	1189	10821
99	1201	10811
100	1212	10796
101	1224	10782
102	1236	10765
103	1247	10750
104	1259	10739
105	1271	10726
106	1283	10710
107	1294	10695
108	1307	10684
109	1318	10670
110	1330	10658
111	1342	10642
112	1354	10629
113	1365	10614
114	1378	10608
115	1390	10598
116	1402	10587
117	1415	10576
118	1426	10562
119	1438	10545
120	1449	10533
121	1461	10518
122	1472	10501
123	1484	10485
124	1495	10471
125	1507	10457
126	1519	10446
127	1531	10433
128	1542	10417
129	1554	10406
130	1566	10394
131	1579	10386
132	1593	10384
133	1604	10372
134	1616	10360
135	1629	10349
136	1640	10335
137	1652	10324
138	1664	10310
139	1676	10296
140	1687	10282
141	1700	10271
142	1713	10270
143	1727	10271
144	1742	10274
145	1755	10267
146	1768	10263
147	1784	10270
148	1798	10272
149	1810	10261
150	1822	10248
151	1835	10240
152	1849	10239
153	1863	10235
154	1877	10237
155	1889	10223
156	1902	10214
157	1914	10202
158	1926	10188
159	1938	10176
160	1950	10163
161	1962	10150
162	1974	10137
163	1987	10130
164	2000	10123
165	2012	10110
166	2024	10097
167	2036	10086
168	2048	10073
169	2060	10060
170	2073	10049
171	2085	10037
172	2097	10026
173	2109	10013
174	2120	9998
175	2133	9986
176	2145	9973
177	2156	9960
178	2168	9946
179	2180	9933
180	2193	9927
181	2206	9915
182	2218	9903
183	2230	9891
184	2242	9878
185	2254	9867
186	2266	9853
187	2278	9842
188	2291	9830
189	2302	9817
190	2314	9804
191	2327	9793
192	2339	9782
193	2351	9769
194	2363	9754
195	2375	9743
196	2386	9729
197	2401	9726
198	2414	9717
199	2426	9706
200	2438	9694
201	2450	9682
202	2462	9669
203	2475	9660
204	2488	9649
205	2499	9635
206	2512	9624
207	2524	9612
208	2536	9600
209	2548	9585
210	2559	9571
211	2571	9559
212	2583	9545
213	2595	9532
214	2608	9522
215	2621	9515
216	2633	9502
217	2644	9487
218	2656	9472
219	2667	9456
220	2678	9441
221	2689	9425
222	2700	9410
223	2711	9394
224	2722	9379
225	2734	9364
226	2744	9347
227	2755	9331
228	2767	9316
229	2778	9300
230	2789	9284
231	2799	9268
232	2811	9254
233	2824	9247
234	2836	9232
235	2847	9217
236	2858	9203
237	2869	9188
238	2881	9174
239	2892	9159
240	2903	9144
241	2915	9130
242	2926	9115
243	2937	9100
244	2948	9086
245	2959	9070
246	2971	9057
247	2982	9044
248	2994	9030
249	3006	9018
250	3020	9012
251	3033	9004
252	3045	8990
253	3056	8977
254	3069	8966
255	3081	8954
256	3092	8942
257	3104	8929
258	3116	8917
259	3128	8905
260	3140	8892
261	3152	8879
262	3164	8868
263	3176	8856
264	3188	8844
265	3200	8831
266	3212	8820
267	3226	8811
268	3239	8802
269	3251	8789
270	3263	8778
271	3275	8765
272	3287	8753
273	3298	8739
274	3311	8729
275	3322	8716
276	3334	8703
277	3346	8691
278	3358	8679
279	3370	8666
280	3382	8654
281	3394	8642
282	3406	8630
283	3418	8618
284	3431	8609
285	3444	8598
286	3456	8586
287	3467	8573
288	3479	8561
289	3491	8549
290	3504	8537
291	3515	8525
292	3527	8511
293	3538	8497
294	3550	8486
295	3562	8472
296	3573	8459
297	3585	8446
298	3597	8434
299	3609	8421
300	3620	8408
301	3632	8395
302	3647	8390
303	3659	8377
304	3670	8364
305	3682	8352
306	3695	8341
307	3707	8328
308	3718	8316
309	3730	8303
310	3742	8291
311	3754	8279
312	3766	8267
313	3778	8255
314	3791	8243
315	3802	8231
316	3814	8219
317	3826	8206
318	3840	8198
319	3853	8188
320	3867	8180
321	3880	8171
322	3894	8163
323	3906	8151
324	3918	8138
325	3930	8125
326	3942	8113
327	3954	8101
328	3967	8092
329	3981	8083
330	3995	8074
331	4008	8065
332	4020	8053
333	4032	8041
334	4046	8032
335	4059	8021
336	4070	8008
337	4083	7997
338	4095	7985
339	4107	7973
340	4119	7960
341	4131	7948
342	4143	7936
343	4155	7924
344	4167	7912
345	4179	7900
346	4192	7889
347	4204	7876
348	4216	7864
349	4228	7852
350	4240	7841
351	4254	7832
352	4266	7820
353	4278	7807
354	4290	7796
355	4303	7784
356	4314	7771
357	4326	7759
358	4339	7747
359	4350	7734
360	4362	7722
361	4374	7709
362	4386	7697
363	4398	7684
364	4410	7672
365	4422	7660
366	4433	7647
367	4445	7635
368	4458	7624
369	4471	7613
370	4483	7601
371	4495	7588
372	4507	7576
373	4518	7563
374	4531	7552
375	4543	7540
376	4555	7527
377	4567	7515
378	4579	7503
379	4591	7491
380	4603	7478
381	4615	7466
382	4627	7454
383	4639	7442
384	4651	7430
385	4666	7422
386	4679	7412
387	4692	7400
388	4703	7388
389	4715	7375
390	4727	7363
391	4739	7351
392	4750	7338
393	4762	7325
394	4774	7312
395	4786	7300
396	4798	7288
397	4809	7275
398	4822	7263
399	4834	7251
400	4846	7239
401	4858	7227
402	4872	7218
403	4885	7207
404	4897	7194
405	4909	7182
406	4921	7171
407	4933	7158
408	4945	7146
409	4957	7133
410	4969	7121
411	4981	7109
412	4992	7096
413	5004	7084
414	5023	7081
415	5039	7074
416	5055	7068
417	5067	7056
418	5081	7046
419	5094	7034
420	5106	7022
421	5118	7010
422	5130	6997
423	5141	6984
424	5153	6972
425	5165	6959
426	5177	6947
427	5189	6934
428	5200	6922
429	5212	6909
430	5224	6897
431	5235	6883
432	5246	6869
433	5257	6856
434	5268	6843
435	5280	6830
436	5292	6819
437	5304	6806
438	5316	6794
439	5327	6780
440	5338	6767
441	5349	6754
442	5361	6740
443	5372	6727
444	5383	6714
445	5394	6701
446	5406	6688
447	5417	6675
448	5428	6661
449	5439	6648
450	5450	6634
451	5461	6621
452	5473	6608
453	5484	6596
454	5497	6584
455	5509	6572
456	5520	6559
457	5531	6546
458	5542	6532
459	5553	6519
460	5565	6506
461	5576	6493
462	5587	6480
463	5598	6467
464	5610	6455
465	5621	6442
466	5632	6428
467	5644	6415
468	5655	6402
469	5666	6389
470	5677	6376
471	5688	6363
472	5701	6352
473	5713	6340
474	5724	6327
475	5736	6314
476	5748	6302
477	5760	6290
478	5772	6278
479	5785	6267
480	5797	6255
481	5809	6243
482	5821	6230
483	5832	6218
484	5845	6206
485	5856	6194
