,Unnamed: 0,Text,emotions,category,labels
0,0,Yellow and Red Gazania Rigens Flower Vector Cut Out https://t.co/YViH9XOyIl: #ThrowPillow by #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer #floralpattern https://t.co/aaIJEj6pLx https://t.co/Hulz4Sowqg,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
1,1,"DIY Seamless Connect LED Linear Light Aluminum Body Micro Prismatic Diffuser Anti Glare 
~Email: yvonne@cnmdled.com
~WhatsApp: +86 18824288230
#LED #Linear #Light #Seamless Connect #Construction #lighting Contractor #lighting Designer #Architectural Designer #interior Designer https://t.co/FAIQqDvRAV",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
2,2,"DIY Seamless Connect LED Linear Light Aluminum Body Micro Prismatic Diffuser Anti Glare 
~Email: yvonne@cnmdled.com
~WhatsApp: +86 18824288230
#Linear #Light #Seamless Connect #Construction #lighting Contractor #lighting Designer #Architectural Designer #interior Designer https://t.co/pV4CaNNx2u",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
3,3,"DIY Seamless Connect LED Linear Light Aluminum Body Micro Prismatic Diffuser Anti Glare For Office Home Pendant Linear Led Light
~Email: yvonne@cnmdled.com
~Whatsapp: +8618824288230
~Website: https://t.co/T6zl4V5Huk
#MDLTECHNOLOGY #LED #Linear #Light #Seamless Connect https://t.co/IOwPLR872Y",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
4,4,"""Bright Yellow Gazania Flower Vector Cut Out"" #SummerDress  by #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer #floralpattern #flowerpattern https://t.co/Zy3tTtDWm8 #homedecor https://t.co/EU9MsFglns",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
5,5,"DIY Seamless Connect LED Linear Light Aluminum Body Micro Prismatic Diffuser Anti Glare For Office Home Pendant Linear Led Light
~Email: jasmine@cnmdled.com
~Whatsapp: 86 13682480819
~Website: https://t.co/Cp718rK5fJ
#MDL TECHNOLOGY #LED #Linear #Light #Seamless Connect https://t.co/UKABXbnT2X",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
6,6,https://t.co/YViH9XOyIl: #iPhoneCases 12/12 Pro Gazania Rigans Stunning Floral Cut Out by #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer #floralpattern  https://t.co/XXQsvva5cA,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
7,8,https://t.co/YViH9XOyIl: #iPhoneCase 12/12 Pro Bright Yellow Gazania Flower Vector Cut Out   #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer #floralpattern  https://t.co/6XGCXiOH9C,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
8,9,https://t.co/YViH9XOyIl: #iPhone 12/12 Pro Deep Red Pink and Orange Gazania Vector Cut Out #Cases by #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer https://t.co/8kK7X5ucZY,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
9,10,Bright Yellow Gazania Flower Vector Cut Out https://t.co/YViH9XOyIl: #ThrowPillow by #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer #floralpattern https://t.co/RMLUHvff6A https://t.co/EZIqoC63gp,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
10,11,"""Red and Yellow Gazania Acrylic Painting"" #JigsawPuzzle by #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer #floralpattern #flowerpattern https://t.co/NuqVK86uJ5 #homedecor #officedecor https://t.co/zexGONU01s",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
11,12,#Seamless bifurcated software,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
12,13,"#Tshirt ""Three Bright Colored Gazania Flowers Vector Art Cut Out"" #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer #floralpattern #flowerpattern https://t.co/Vz6DevEbOY #homedecor https://t.co/QwECQGkj1H",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
13,14,Burgundy Pink and Orange Gazania Vector Cut Out https://t.co/YViH9XwXjL: #ThrowPillow by #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer #floralpattern https://t.co/ZIo9H4v6cD https://t.co/Q0t18BwZ9W,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
14,15,"#Credenza ""Red and Yellow Gazania Acrylic Painting""  by #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer #floralpattern #flowerpattern https://t.co/SfVWb4Ue5x #flowers #wallart https://t.co/rsrAApypZ3",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
15,16,"@DavidSacks @elonmusk BOTS are not made equal — there are the good the bad and the ugly — they just need to be detected and differentiated.

#StarOS #Seamless #BotDetection #AtScale #InsanelyGreat #Twitter20 https://t.co/1RGTNx7dwP",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
18,20,"#BeachTowel ""Red and Yellow Gazania Acrylic Painting""  by #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer #floralpattern #flowerpattern https://t.co/MDW1Gze5RM #flowers #wallart https://t.co/LrvPNYEJbY",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
19,21,Bright Yellow Gazania Flower Vector Cut Out https://t.co/YViH9XwXjL: #ThrowPillow by #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer #floralpattern https://t.co/AwYTxC87Wn https://t.co/tyR8f09RwV,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
20,22,Gazania Regans Cut Out Vector Art https://t.co/YViH9XwXjL: #ThrowPillow by #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer #floralpattern #flowerpattern https://t.co/7Ic4Be1xnU https://t.co/QfFLobhTAK,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
22,24,Yellow and Red Gazania Rigens Flower Vector Cut Out https://t.co/YViH9XwXjL: #ThrowPillow by #taiche #pattern #seamless #abstract #gazania #flower #floral #spring #petals #yellow #orange #pattern #abstract #gazaniaflower #floral #summer #floralpattern https://t.co/AMrVhxOL4k https://t.co/tMoJFwsM83,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
